model,threshold,accuracy,precision,recall,specificity,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive
Support Vector Machine,0.61,0.809129,0.845528,0.793893,0.827273,0.818898,0.899931,0.894299,91,19,27,104
Support Vector Machine,0.62,0.813278,0.852459,0.793893,0.836364,0.822134,0.899931,0.894299,92,18,27,104
Support Vector Machine,0.63,0.809129,0.85124,0.78626,0.836364,0.81746,0.899931,0.894299,92,18,28,103
Support Vector Machine,0.64,0.804979,0.855932,0.770992,0.845455,0.811245,0.899931,0.894299,93,17,30,101
Support Vector Machine,0.65,0.80083,0.854701,0.763359,0.845455,0.806452,0.899931,0.894299,93,17,31,100
Support Vector Machine,0.66,0.804979,0.862069,0.763359,0.854545,0.809717,0.899931,0.894299,94,16,31,100
Support Vector Machine,0.67,0.80083,0.86087,0.755725,0.854545,0.804878,0.899931,0.894299,94,16,32,99
Support Vector Machine,0.68,0.79668,0.859649,0.748092,0.854545,0.8,0.899931,0.894299,94,16,33,98
Support Vector Machine,0.69,0.809129,0.882883,0.748092,0.881818,0.809917,0.899931,0.894299,97,13,33,98
Support Vector Machine,0.7,0.804979,0.881818,0.740458,0.881818,0.804979,0.899931,0.894299,97,13,34,97
Support Vector Machine,0.71,0.792531,0.878505,0.717557,0.881818,0.789916,0.899931,0.894299,97,13,37,94
Support Vector Machine,0.72,0.792531,0.878505,0.717557,0.881818,0.789916,0.899931,0.894299,97,13,37,94
Support Vector Machine,0.73,0.79668,0.886792,0.717557,0.890909,0.793249,0.899931,0.894299,98,12,37,94
Support Vector Machine,0.74,0.788382,0.892157,0.694656,0.9,0.781116,0.899931,0.894299,99,11,40,91
Support Vector Machine,0.75,0.780083,0.89,0.679389,0.9,0.770563,0.899931,0.894299,99,11,42,89
Support Vector Machine,0.76,0.775934,0.888889,0.671756,0.9,0.765217,0.899931,0.894299,99,11,43,88
Support Vector Machine,0.77,0.775934,0.888889,0.671756,0.9,0.765217,0.899931,0.894299,99,11,43,88
Support Vector Machine,0.78,0.775934,0.896907,0.664122,0.909091,0.763158,0.899931,0.894299,100,10,44,87
Support Vector Machine,0.79,0.763485,0.893617,0.641221,0.909091,0.746667,0.899931,0.894299,100,10,47,84
Support Vector Machine,0.8,0.751037,0.89011,0.618321,0.909091,0.72973,0.899931,0.894299,100,10,50,81
Support Vector Machine,0.81,0.73444,0.885057,0.587786,0.909091,0.706422,0.899931,0.894299,100,10,54,77
Support Vector Machine,0.82,0.717842,0.888889,0.549618,0.918182,0.679245,0.899931,0.894299,101,9,59,72
Support Vector Machine,0.83,0.721992,0.9,0.549618,0.927273,0.682464,0.899931,0.894299,102,8,59,72
Support Vector Machine,0.84,0.709544,0.896104,0.526718,0.927273,0.663462,0.899931,0.894299,102,8,62,69
Support Vector Machine,0.85,0.709544,0.906667,0.519084,0.936364,0.660194,0.899931,0.894299,103,7,63,68
Support Vector Machine,0.86,0.701245,0.915493,0.496183,0.945455,0.643564,0.899931,0.894299,104,6,66,65
Support Vector Machine,0.87,0.680498,0.909091,0.458015,0.945455,0.609137,0.899931,0.894299,104,6,71,60
Support Vector Machine,0.88,0.684647,0.936508,0.450382,0.963636,0.608247,0.899931,0.894299,106,4,72,59
Support Vector Machine,0.89,0.66805,0.947368,0.412214,0.972727,0.574468,0.899931,0.894299,107,3,77,54
Support Vector Machine,0.9,0.6639,0.946429,0.40458,0.972727,0.566845,0.899931,0.894299,107,3,78,53
Support Vector Machine,0.91,0.655602,0.944444,0.389313,0.972727,0.551351,0.899931,0.894299,107,3,80,51
Support Vector Machine,0.92,0.647303,0.96,0.366412,0.981818,0.530387,0.899931,0.894299,108,2,83,48
Support Vector Machine,0.93,0.626556,0.955556,0.328244,0.981818,0.488636,0.899931,0.894299,108,2,88,43
Support Vector Machine,0.94,0.618257,0.97561,0.305344,0.990909,0.465116,0.899931,0.894299,109,1,91,40
Support Vector Machine,0.95,0.585062,0.969697,0.244275,0.990909,0.390244,0.899931,0.894299,109,1,99,32
XGBoost,0.05,0.73029,0.673684,0.977099,0.436364,0.797508,0.901388,0.91253,48,62,3,128
XGBoost,0.06,0.742739,0.686486,0.969466,0.472727,0.803797,0.901388,0.91253,52,58,4,127
XGBoost,0.07,0.751037,0.693989,0.969466,0.490909,0.808917,0.901388,0.91253,54,56,4,127
XGBoost,0.08,0.746888,0.692308,0.961832,0.490909,0.805112,0.901388,0.91253,54,56,5,126
XGBoost,0.09,0.755187,0.7,0.961832,0.509091,0.810289,0.901388,0.91253,56,54,5,126
XGBoost,0.1,0.763485,0.707865,0.961832,0.527273,0.815534,0.901388,0.91253,58,52,5,126
XGBoost,0.11,0.767635,0.711864,0.961832,0.536364,0.818182,0.901388,0.91253,59,51,5,126
XGBoost,0.12,0.775934,0.72,0.961832,0.554545,0.823529,0.901388,0.91253,61,49,5,126
XGBoost,0.13,0.784232,0.728324,0.961832,0.572727,0.828947,0.901388,0.91253,63,47,5,126
XGBoost,0.14,0.788382,0.735294,0.954198,0.590909,0.830565,0.901388,0.91253,65,45,6,125
XGBoost,0.15,0.79668,0.744048,0.954198,0.609091,0.83612,0.901388,0.91253,67,43,6,125
XGBoost,0.16,0.79668,0.744048,0.954198,0.609091,0.83612,0.901388,0.91253,67,43,6,125
XGBoost,0.17,0.792531,0.742515,0.946565,0.609091,0.832215,0.901388,0.91253,67,43,7,124
XGBoost,0.18,0.79668,0.75,0.938931,0.627273,0.833898,0.901388,0.91253,69,41,8,123
XGBoost,0.19,0.80083,0.754601,0.938931,0.636364,0.836735,0.901388,0.91253,70,40,8,123
XGBoost,0.2,0.804979,0.759259,0.938931,0.645455,0.83959,0.901388,0.91253,71,39,8,123
XGBoost,0.21,0.804979,0.759259,0.938931,0.645455,0.83959,0.901388,0.91253,71,39,8,123
XGBoost,0.22,0.804979,0.7625,0.931298,0.654545,0.838488,0.901388,0.91253,72,38,9,122
XGBoost,0.23,0.813278,0.772152,0.931298,0.672727,0.844291,0.901388,0.91253,74,36,9,122
XGBoost,0.24,0.813278,0.772152,0.931298,0.672727,0.844291,0.901388,0.91253,74,36,9,122
XGBoost,0.25,0.821577,0.782051,0.931298,0.690909,0.850174,0.901388,0.91253,76,34,9,122
XGBoost,0.26,0.817427,0.780645,0.923664,0.690909,0.846154,0.901388,0.91253,76,34,10,121
XGBoost,0.27,0.817427,0.784314,0.916031,0.7,0.84507,0.901388,0.91253,77,33,11,120
XGBoost,0.28,0.817427,0.784314,0.916031,0.7,0.84507,0.901388,0.91253,77,33,11,120
XGBoost,0.29,0.817427,0.788079,0.908397,0.709091,0.843972,0.901388,0.91253,78,32,12,119
XGBoost,0.3,0.821577,0.793333,0.908397,0.718182,0.846975,0.901388,0.91253,79,31,12,119
XGBoost,0.31,0.817427,0.791946,0.900763,0.718182,0.842857,0.901388,0.91253,79,31,13,118
XGBoost,0.32,0.817427,0.795918,0.89313,0.727273,0.841727,0.901388,0.91253,80,30,14,117
XGBoost,0.33,0.821577,0.80137,0.89313,0.736364,0.844765,0.901388,0.91253,81,29,14,117
XGBoost,0.34,0.821577,0.80137,0.89313,0.736364,0.844765,0.901388,0.91253,81,29,14,117
XGBoost,0.35,0.821577,0.80137,0.89313,0.736364,0.844765,0.901388,0.91253,81,29,14,117
XGBoost,0.36,0.821577,0.80137,0.89313,0.736364,0.844765,0.901388,0.91253,81,29,14,117
XGBoost,0.37,0.821577,0.80137,0.89313,0.736364,0.844765,0.901388,0.91253,81,29,14,117
XGBoost,0.38,0.821577,0.80137,0.89313,0.736364,0.844765,0.901388,0.91253,81,29,14,117
XGBoost,0.39,0.821577,0.80137,0.89313,0.736364,0.844765,0.901388,0.91253,81,29,14,117
XGBoost,0.4,0.821577,0.80137,0.89313,0.736364,0.844765,0.901388,0.91253,81,29,14,117
XGBoost,0.41,0.825726,0.806897,0.89313,0.745455,0.847826,0.901388,0.91253,82,28,14,117
XGBoost,0.42,0.825726,0.806897,0.89313,0.745455,0.847826,0.901388,0.91253,82,28,14,117
XGBoost,0.43,0.825726,0.806897,0.89313,0.745455,0.847826,0.901388,0.91253,82,28,14,117
XGBoost,0.44,0.834025,0.818182,0.89313,0.763636,0.854015,0.901388,0.91253,84,26,14,117
XGBoost,0.45,0.834025,0.818182,0.89313,0.763636,0.854015,0.901388,0.91253,84,26,14,117
XGBoost,0.46,0.834025,0.818182,0.89313,0.763636,0.854015,0.901388,0.91253,84,26,14,117
XGBoost,0.47,0.838174,0.823944,0.89313,0.772727,0.857143,0.901388,0.91253,85,25,14,117
XGBoost,0.48,0.834025,0.822695,0.885496,0.772727,0.852941,0.901388,0.91253,85,25,15,116
XGBoost,0.49,0.834025,0.822695,0.885496,0.772727,0.852941,0.901388,0.91253,85,25,15,116
XGBoost,0.5,0.834025,0.822695,0.885496,0.772727,0.852941,0.901388,0.91253,85,25,15,116
XGBoost,0.51,0.834025,0.822695,0.885496,0.772727,0.852941,0.901388,0.91253,85,25,15,116
XGBoost,0.52,0.838174,0.828571,0.885496,0.781818,0.856089,0.901388,0.91253,86,24,15,116
XGBoost,0.53,0.842324,0.834532,0.885496,0.790909,0.859259,0.901388,0.91253,87,23,15,116
XGBoost,0.54,0.842324,0.834532,0.885496,0.790909,0.859259,0.901388,0.91253,87,23,15,116
XGBoost,0.55,0.842324,0.834532,0.885496,0.790909,0.859259,0.901388,0.91253,87,23,15,116
XGBoost,0.56,0.838174,0.833333,0.877863,0.790909,0.855019,0.901388,0.91253,87,23,16,115
XGBoost,0.57,0.838174,0.833333,0.877863,0.790909,0.855019,0.901388,0.91253,87,23,16,115
XGBoost,0.58,0.838174,0.838235,0.870229,0.8,0.853933,0.901388,0.91253,88,22,17,114
XGBoost,0.59,0.838174,0.843284,0.862595,0.809091,0.85283,0.901388,0.91253,89,21,18,113
XGBoost,0.6,0.834025,0.847328,0.847328,0.818182,0.847328,0.901388,0.91253,90,20,20,111
XGBoost,0.61,0.829876,0.846154,0.839695,0.818182,0.842912,0.901388,0.91253,90,20,21,110
XGBoost,0.62,0.834025,0.852713,0.839695,0.827273,0.846154,0.901388,0.91253,91,19,21,110
XGBoost,0.63,0.838174,0.859375,0.839695,0.836364,0.849421,0.901388,0.91253,92,18,21,110
XGBoost,0.64,0.825726,0.856,0.816794,0.836364,0.835938,0.901388,0.91253,92,18,24,107
XGBoost,0.65,0.825726,0.856,0.816794,0.836364,0.835938,0.901388,0.91253,92,18,24,107
XGBoost,0.66,0.825726,0.856,0.816794,0.836364,0.835938,0.901388,0.91253,92,18,24,107
XGBoost,0.67,0.825726,0.856,0.816794,0.836364,0.835938,0.901388,0.91253,92,18,24,107
XGBoost,0.68,0.825726,0.856,0.816794,0.836364,0.835938,0.901388,0.91253,92,18,24,107
XGBoost,0.69,0.821577,0.854839,0.80916,0.836364,0.831373,0.901388,0.91253,92,18,25,106
XGBoost,0.7,0.813278,0.852459,0.793893,0.836364,0.822134,0.901388,0.91253,92,18,27,104
XGBoost,0.71,0.813278,0.858333,0.78626,0.845455,0.820717,0.901388,0.91253,93,17,28,103
XGBoost,0.72,0.817427,0.865546,0.78626,0.854545,0.824,0.901388,0.91253,94,16,28,103
XGBoost,0.73,0.817427,0.865546,0.78626,0.854545,0.824,0.901388,0.91253,94,16,28,103
