model,n_parameter_combinations,parameter_grid
Logistic Regression,4,"{""clf__C"": [0.01, 0.1, 1, 10], ""clf__penalty"": [""l2""], ""clf__solver"": [""lbfgs""]}"
Support Vector Machine,12,"{""clf__C"": [0.1, 1, 10], ""clf__gamma"": [""scale"", 0.1], ""clf__kernel"": [""linear"", ""rbf""]}"
XGBoost,8,"{""clf__learning_rate"": [0.03, 0.05], ""clf__max_depth"": [2, 3], ""clf__n_estimators"": [100, 200]}"
